name,address,website,image_url,rating,reviews
"Union on San Antonio","2011 San Antonio St, Austin, TX 78705, USA","https://www.uniononsanantonio.com/?switch_cls[id]=67805&utm_source=gmb&utm_medium=organic","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfUmRTZhPZC2riSvzICZaIxMs3jaQoFBn5MjOX5s9AUMYE82iQHNYiuKUBHy8I_f9Z0kDnh_UAmHNLHK83tTmyOOMl19nGWsS_QEVXeOEPqPQWdtfnivFSL-tJIaywDCY2C0zdsb71tM3prztnmDP-qbm1UWFWYwkRqnetdNXNid2qZWVpHiqOg_20QdJ1eKL3LTfa26SVOeKJyHCptqmqtyY_MC-EvhDIc4TWVCSXfqTucKraAEvgpgZsdWZFYQzhLcLdapi2o-dz22do4NpS84uDFwUovXknVpVTC1m60q3g&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.1,214
"Union on 24th","701 W 24th St, Austin, TX 78705, USA","https://www.unionon24th.com/?switch_cls[id]=67805&utm_source=gmb&utm_medium=organic","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfXcqfRxdrTeMyv-XmbwaJPC-OI6xF6yXY14bU4VMor0zOkgYQ3UOKmaZgGynK7w7SWnFGx6nzN2FEMrj09Yyk1sDCqAo9MwcKE2s8o-3ITonVSTCCvAsCk0SZ396CQew4G4YBwrU-I5HDhXByS4YJC53Ro-x7xlVgrhtu6-rIQ1kp46xUPusSR3Eqv71QL6WZn3MoG2g8pvx93AhU3wEKyhFdZPAedEXHHe79raZPOwPGuDEI4SP7LmbsGpKdB7_NfdDJNsf-BY1yo6oasl9cfdBiBkCdI2RVC1soMBFQfeRg&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.6,368
"Rise at West Campus","2206 Nueces St, Austin, TX 78705, USA","https://www.riseatwestcampus.com/?utm_source=GBP&utm_medium=organic","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfVuirgBt4UQaCMyZstXZh2RGVKb5qzzCHTWd-0A5xqvLA0TChWyNvdRVPYCWONNAvl3-oNSRY9vppm3NUlIlyx8x7Ewtt3WW9eQIZgj7ntHaGi0GKy6q99wg14qEyJVHRGybGJbQOkIGDQOvjvDn88z_xZfX4Q8gggB0uo0_I7uFJ9Y6wL2QM4xFNA1XSw5ZCAWRHw5jMC7snVi1effLDdyzW-L0e1Pd3GcnDhcn7BMXnrayG4gBC_-LnG677s1cIWcu2wbulRreShI2-D0dL4DVjLpgy46JEApmp3iMfC0sQ&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",2.7,125
"Rambler","2513 Seton Ave, Austin, TX 78705, USA","https://www.rambleratx.com/","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfWgAnJh7shnN0ipl-y79lE526F0P4SpRqcA6nL_XZlA8SAM519_aQtLOcq_1jPNU0Zro-POz39G0ehbDt8OmQz-8TKdmc_oqxYU2KWm_zBbcgoC58-FVDRb3KrjLLEsgqWwf2BWm7KS7IZsNH9DT3E-eXnibP0x6Ivqkh0u69afXwSqB2-qQbiq2xmp3cEXHgS70f1citqOkbMMBrCrG3KbLsyfn4sQRCza3r1JMdaIBC-iU0Lbgo4DwReTE3Ym7sABPSU5psDIbm5PsaQyNQ3k-jKbkkTw7Xx7vwML2YTaVQ&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.3,461
"26 West","600 W 26th St, Austin, TX 78705, USA","https://www.americancampus.com/student-apartments/tx/austin/26-west","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfXv1T0wSWgyK95Q4WzxGQkhjjCf71xaG5tp3l_OcGVMN-rdN9nw5VF18awFkJ880kOrqUO7NgeaqdqJfNtlBlz-ZklMZipV8XWayl3ru6if68_JSv0dak_EDJWw59UvTWKW4CcSnQLwOb0IHXEkiFNyI0UE3jIfM_6_l7Kqk5Ti-V7hxkGCpq--0-_O26feTUoq2cmlL6R8pJzhBhDjk4a9vWGLH8hWW6ExM4QJFueC54P6PnVcLiZjF9jxsYIY-qa0lt0_60XMH0YILUb8rkD8-n0-HG4GY36LdfK6ZUwzpA&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.3,660
"Moontower","2204 San Antonio St, Austin, TX 78705, USA","https://moontoweratx.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfWY-7HZ7AcK4S-xdbhb0yhQcaZHV2gJBfgXjx6zsW7LoZEhMBEjUIKWvO7ElFKEse7zw4iNnc73FVzeHmRh0h6PFUz1_xMMYXcX8Q6C0AEgXvjyjLGqw-xE7bzrls9qotBW7B1wcUk8w2xnO-j-btMoNz-eidk4f-SfLY2pj3EDX1FwvR6A6jzgoyFIxe_EdPcIMAe811nOzT8T-_-dH4Df5rSJMgCB1CzC3vq3KT--1nh1MRpmk_0qERk9_YqhvqnmSSMF10IP9wAREjcLzF_0QX6Ibu5kcLGvg-PFcVPjow&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",3.5,180
"The Standard at Austin","715 W 23rd St, Austin, TX 78705, USA","https://thestandardaustin.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfU5y4EgrCIP8n2hshAa4l-gxJ6O1z0V9jEYGFQaenpDuyfJiJo2i92zsFwBJ41-JVT4x4svYABT22lT1jOuurv_AXje9xyz8RkI4vDROfk0fbXRfn9zcbWYP2apfwYGURvE6gSLB3K6MYfGEp2KXXm0O6ZvQWzoJ7P_QzrXdQB1kTtg2SZBaAo2nQHbN_xZ5aQlfLw1ndSblk2EthJ64UBL3A2LWrbmwDvaNdxyGtwwD6OJ6ihJolO43CBcS1eQv82GOl2R5pBfd-1jokPobEWompS4wXgHI5FHjVrWTnx0Yg&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",3.4,447
"Signature 1909","1909 Rio Grande St, Austin, TX 78705, USA","https://www.signature1909.com/?switch_cls[id]=68820","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfVTqYompUzyjGZO_kpzboiJoGcm3gC7qOgB2rtGgkfKiRBDOY2jXKbCR8_WRSarGoGmCxpKq8AjRZHgy2Atv_SKHCzY839myLHC9LAJ1-96WqFcoQbaI3sZ6alUdzUpS3EJb1cY1FK6ldO3gWyVHhkkHZ1wrR9O9aFxfjrRpjAIAo78uqLV9NmeReuufPKabG1ZXYvad8EQ_yBvRlkls9vNqN8lEGMa5UHac4-wlmS229dMU2k9JPIK93vLvI0kjaxATmhJ8dgZGsuEE_M1VP6_DB0fXvmNjrbVBvk7vU41mQ&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",2.7,119
"Hilltop","2400 San Gabriel St, Austin, TX 78705, USA","https://www.hilltopatx.com/?switch_cls[id]=67805&utm_source=gmb&utm_medium=organic","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfXCLWJiKIs1OpASZXUnrLwM7GUOoPFPcvqY5uyBRd5Y-wLI4HhiTDZvOImj7i7zd2ku8jrSnViK5BAS-tJ_QO3FezVlJuzSZ4ImKm0MVqM6iGqSLbhSsBNmoUbsUGWp9hTYEGkQcrDX-_2_Ga-mnPrVWOZZKAVXyN0au8EPV41wRSfNL_3Zh9IX4BuL6cbSTpPPqS-RUVSO4oxzblK62ik8u9Ub4DuZHVdJM13QWpcpY0PcRiHcp5ASr-YGTVFcK8dGfiJBPf7bw2WUzUohi9fsjZkkCv-d5yR2w6XaDVmrsA&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.2,177
"Torre","2020 Nueces St, Austin, TX 78705, USA","https://torreatx.com/","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=ATCDNfXUxRp3Xc8KeM_3wP-wMSMCO4E9dm6cYNt04dItob3uP7TBiaThjIt3dCXeU3BHbxz5QJRE-Y7__NU6KCsX8gIKO8JFAgyc8xyJHEJaf7fR4TjO4sPduR9Jfxzo3rYexjCvJfwFIvClEe_-CcWHLzRsF2YefYAnM3lec8o8OYoadUnw5xq4rCCbv525efURGa0eeL04cF3vUQzeUsWDokuR-4UQO2pxJr-PC8OsgwbXxQNs-hhDDgG5SgsCpvgFGgfO6aFfkqe8TFJDGogr340nmeiFzdhvdNCLLH-vxcIiCA&key=AIzaSyAHI7D8ecAP25OIrT6YBFUeWSUmNipuewM",4.3,208
